ID,class,prob1,prob2
1,1,0.896763306381553,0.10323669361844698
2,2,5.822150128217589e-4,0.9994177849871781
3,2,1.2596695526106307e-4,0.999874033044739
5,2,0.07536518972830566,0.9246348102716944
6,1,0.9109438512279597,0.08905614877204021
7,1,0.6955898984272872,0.3044101015727128
8,2,0.0019307710817298802,0.9980692289182701
9,2,0.016164081384058473,0.9838359186159416
10,1,0.9655666200314845,0.03443337996851554
11,2,0.14744548833635487,0.852554511663645
12,1,0.8722127225352283,0.12778727746477173
13,1,0.6205505133452174,0.3794494866547827
14,2,0.4011124044224038,0.5988875955775963
15,1,0.7304812392693498,0.26951876073065023
17,1,0.7538592438444858,0.24614075615551428
18,1,0.8159294227573558,0.18407057724264417
19,2,0.28011428059313526,0.7198857194068649
21,1,0.9122900878641255,0.0877099121358746
22,2,0.18699264464061827,0.8130073553593816
23,2,0.4352175000158155,0.5647824999841845
24,1,0.796611422233878,0.20338857776612188
25,1,0.5022038893771054,0.4977961106228946
26,2,0.1580779132975307,0.8419220867024693
27,2,0.011070039838649572,0.9889299601613505
29,1,0.8592382018326332,0.14076179816736684
30,2,0.15679314499852,0.84320685500148
34,2,0.04128190746454508,0.958718092535455
35,2,0.3832284557756593,0.6167715442243407
39,1,0.9515573050172178,0.04844269498278212
42,1,0.9414222183087199,0.05857778169128021
46,1,0.9265380628798973,0.07346193712010274
47,2,0.21402560783664976,0.7859743921633502
48,1,0.6426195435012226,0.35738045649877737
52,2,0.02739782720693493,0.972602172793065
53,1,0.5733434426248301,0.42665655737517
54,1,0.7647429994738986,0.23525700052610146
55,1,0.629005936773203,0.37099406322679707
58,1,0.9310898019303991,0.06891019806960084
66,2,0.0029487365197561513,0.9970512634802438
67,1,0.5725954522913209,0.42740454770867914
70,2,0.42245968964711783,0.5775403103528822
71,1,0.8405274244935509,0.1594725755064491
72,1,0.940999593874235,0.05900040612576496
73,1,0.9436691939580865,0.05633080604191356
78,1,0.814344736746003,0.18565526325399695
